,source,destination,weight
0,carts,carts-db,1
1,catalogue,catalogue-db,1
2,orders,orders-db,1
3,user,user-db,1
4,front-end,carts,1
5,orders,shipping,1
6,front-end,user,1
7,orders,carts,1
8,front-end,catalogue,1
9,unknown,front-end,1
10,front-end,orders,1
11,orders,payment,1
12,orders,user,1
13,user-db,kubernetes-minion-group-5rnc,1
14,carts,kubernetes-minion-group-7k49,1
15,front-end,kubernetes-minion-group-3sk9,1
16,orders,kubernetes-minion-group-7k49,1
17,payment,kubernetes-minion-group-6fdx,1
18,shipping,kubernetes-minion-group-3sk9,1
19,user,kubernetes-minion-group-5rnc,1
20,carts-db,kubernetes-minion-group-5rnc,1
21,catalogue-db,kubernetes-minion-group-6fdx,1
22,orders-db,kubernetes-minion-group-6fdx,1
23,queue-master,kubernetes-minion-group-3sk9,1
24,catalogue,kubernetes-minion-group-6fdx,1
25,rabbitmq,kubernetes-minion-group-3sk9,1
