,source,destination,weight
0,carts,carts-db,1
1,catalogue,catalogue-db,1
2,orders,orders-db,1
3,user,user-db,1
4,orders,carts,1
5,orders,payment,1
6,front-end,carts,1
7,front-end,catalogue,1
8,unknown,front-end,1
9,front-end,orders,1
10,orders,shipping,1
11,front-end,user,1
12,orders,user,1
13,carts-db,kubernetes-minion-group-5rnc,1
14,catalogue-db,kubernetes-minion-group-6fdx,1
15,orders,kubernetes-minion-group-7k49,1
16,queue-master,kubernetes-minion-group-3sk9,1
17,rabbitmq,kubernetes-minion-group-3sk9,1
18,carts,kubernetes-minion-group-7k49,1
19,front-end,kubernetes-minion-group-3sk9,1
20,orders-db,kubernetes-minion-group-6fdx,1
21,payment,kubernetes-minion-group-6fdx,1
22,shipping,kubernetes-minion-group-3sk9,1
23,user,kubernetes-minion-group-5rnc,1
24,user-db,kubernetes-minion-group-5rnc,1
25,catalogue,kubernetes-minion-group-6fdx,1
