,source,destination,weight
0,user,user-db,1
1,carts,carts-db,1
2,catalogue,catalogue-db,1
3,orders,orders-db,1
4,front-end,catalogue,1
5,front-end,orders,1
6,orders,payment,1
7,orders,user,1
8,orders,carts,1
9,front-end,carts,1
10,unknown,front-end,1
11,orders,shipping,1
12,front-end,user,1
13,carts,kubernetes-minion-group-7k49,1
14,orders-db,kubernetes-minion-group-6fdx,1
15,user,kubernetes-minion-group-6fdx,1
16,catalogue,kubernetes-minion-group-6fdx,1
17,front-end,kubernetes-minion-group-3sk9,1
18,rabbitmq,kubernetes-minion-group-5rnc,1
19,catalogue-db,kubernetes-minion-group-6fdx,1
20,queue-master,kubernetes-minion-group-7k49,1
21,carts-db,kubernetes-minion-group-5rnc,1
22,orders,kubernetes-minion-group-7k49,1
23,payment,kubernetes-minion-group-6fdx,1
24,shipping,kubernetes-minion-group-5rnc,1
25,user-db,kubernetes-minion-group-7k49,1
