,source,destination,weight
0,carts,carts-db,1
1,catalogue,catalogue-db,1
2,orders,orders-db,1
3,user,user-db,1
4,orders,shipping,1
5,front-end,user,1
6,front-end,carts,1
7,unknown,front-end,1
8,front-end,orders,1
9,orders,payment,1
10,orders,carts,1
11,front-end,catalogue,1
12,orders,user,1
13,rabbitmq,kubernetes-minion-group-kgf5,1
14,user,kubernetes-minion-group-jp77,1
15,carts,kubernetes-minion-group-kgf5,1
16,queue-master,kubernetes-minion-group-kgf5,1
17,catalogue-db,kubernetes-minion-group-gklh,1
18,payment,kubernetes-minion-group-gklh,1
19,front-end,kubernetes-minion-group-29kq,1
20,orders,kubernetes-minion-group-jp77,1
21,orders-db,kubernetes-minion-group-jp77,1
22,shipping,kubernetes-minion-group-gklh,1
23,user-db,kubernetes-minion-group-jp77,1
24,carts-db,kubernetes-minion-group-kgf5,1
25,catalogue,kubernetes-minion-group-gklh,1
