,source,destination,weight
0,user,user-db,1
1,carts,carts-db,1
2,catalogue,catalogue-db,1
3,orders,orders-db,1
4,front-end,carts,1
5,unknown,front-end,1
6,front-end,orders,1
7,front-end,user,1
8,orders,user,1
9,orders,carts,1
10,front-end,catalogue,1
11,orders,payment,1
12,orders,shipping,1
13,carts,kubernetes-minion-group-kgf5,1
14,queue-master,kubernetes-minion-group-kgf5,1
15,payment,kubernetes-minion-group-gklh,1
16,user,kubernetes-minion-group-jp77,1
17,carts-db,kubernetes-minion-group-kgf5,1
18,catalogue-db,kubernetes-minion-group-gklh,1
19,front-end,kubernetes-minion-group-29kq,1
20,catalogue,kubernetes-minion-group-gklh,1
21,orders,kubernetes-minion-group-jp77,1
22,user-db,kubernetes-minion-group-jp77,1
23,orders-db,kubernetes-minion-group-jp77,1
24,rabbitmq,kubernetes-minion-group-kgf5,1
25,shipping,kubernetes-minion-group-gklh,1
